Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Happy Hours Outside Promo,Chrome 103.0.5060.53,,,2022-07-04 15:42:29,2022-07-04 15:43:02,"32,963s",FAILED
,,,,,,,
Test Cases/Happy Hours/happy-hours_promo-not-active,Chrome 103.0.5060.53,Happy hours is promotion that happens only during 13:00 and 15:00 - this test check if outside this range clock module is showing and verify text.,,2022-07-04 15:42:46,2022-07-04 15:43:02,"15,887s",FAILED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-07-04 15:42:46,2022-07-04 15:42:48,"1,968s",PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-07-04 15:42:48,2022-07-04 15:42:48,"0,154s",PASSED
"navigateToUrl(""https://r.pl/happy-hours"")",Chrome 103.0.5060.53,,,2022-07-04 15:42:48,2022-07-04 15:42:53,"4,880s",PASSED
"verifyElementText(findTestObject(""Object Repository/HappyHoursPage/do-startu-kolejnej-promocji-pozostao""), ""Do startu kolejnej promocji pozostało:"")",Chrome 103.0.5060.53,,,2022-07-04 15:42:53,2022-07-04 15:42:53,"0,357s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/HappyHoursPage/clock-module""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:53,2022-07-04 15:42:54,"0,566s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/HappyHoursPage/clock-module2""))",Chrome 103.0.5060.53,,,2022-07-04 15:42:54,2022-07-04 15:42:54,"0,293s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/HappyHoursPage/clock_1-block""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:54,2022-07-04 15:42:55,"0,709s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/HappyHoursPage/clock_2-block""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:55,2022-07-04 15:42:55,"0,394s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/HappyHoursPage/clock_3-block""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:55,2022-07-04 15:42:56,"0,633s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/HappyHoursPage/clock_4-block""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:56,2022-07-04 15:42:56,"0,318s",PASSED
"verifyElementText(findTestObject(""Object Repository/HappyHoursPage/dni-string""), ""dni"")",Chrome 103.0.5060.53,,,2022-07-04 15:42:56,2022-07-04 15:42:57,"0,701s",PASSED
"verifyElementText(findTestObject(""Object Repository/HappyHoursPage/godz-string""), ""(godz)"")",Chrome 103.0.5060.53,,,2022-07-04 15:42:57,2022-07-04 15:42:57,"0,295s",PASSED
"verifyElementText(findTestObject(""Object Repository/HappyHoursPage/min-string""), ""(min)"")",Chrome 103.0.5060.53,,,2022-07-04 15:42:57,2022-07-04 15:42:58,"0,664s",PASSED
"verifyElementText(findTestObject(""Object Repository/HappyHoursPage/sek-string""), ""(sek)"")",Chrome 103.0.5060.53,,,2022-07-04 15:42:58,2022-07-04 15:42:58,"0,422s",PASSED
"verifyElementNotPresent(findTestObject(""HappyHoursPage/pokaz-wszystkie-oferty-link""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:58,2022-07-04 15:42:59,"0,609s",PASSED
"verifyElementNotPresent(findTestObject(""HappyHoursPage/pierwszy-bloczek-hh""), 1)",Chrome 103.0.5060.53,,,2022-07-04 15:42:59,2022-07-04 15:43:02,"2,906s",FAILED
